id,language,scoring,mode,predicted_index,answer_index,correct,confidence,entropy,margin,n_choices,domain,verbalized_confidence
eng-eng-0,eng,mc1,mc1,2,2,True,0.8229683637619019,0.6578475832939148,0.7543511986732483,4,elementary_mathematics,
eng-eng-1,eng,mc1,mc1,2,2,True,0.9855748414993286,0.0895138829946518,0.9778110384941101,4,elementary_mathematics,
eng-eng-2,eng,mc1,mc1,3,3,True,0.8357651829719543,0.528144121170044,0.700830340385437,4,elementary_mathematics,
eng-eng-3,eng,mc1,mc1,1,1,True,0.5137299299240112,0.8306034207344055,0.060364872217178345,4,elementary_mathematics,
eng-eng-4,eng,mc1,mc1,1,1,True,0.464069128036499,1.2228009700775146,0.17965564131736755,4,elementary_mathematics,
eng-eng-5,eng,mc1,mc1,0,2,False,0.7008793950080872,0.8330883383750916,0.4871232509613037,4,elementary_mathematics,
eng-eng-6,eng,mc1,mc1,1,2,False,0.4390425980091095,1.2082529067993164,0.11456358432769775,4,elementary_mathematics,
eng-eng-7,eng,mc1,mc1,1,1,True,0.5305569171905518,0.7834770679473877,0.07998055219650269,4,elementary_mathematics,
eng-eng-8,eng,mc1,mc1,3,3,True,0.975158154964447,0.13331559300422668,0.9561452269554138,4,elementary_mathematics,
eng-eng-9,eng,mc1,mc1,3,3,True,0.8761188983917236,0.46176984906196594,0.7827211022377014,4,elementary_mathematics,
eng-eng-10,eng,mc1,mc1,1,2,False,0.46208831667900085,1.2501959800720215,0.2266203761100769,4,elementary_mathematics,
eng-eng-11,eng,mc1,mc1,0,3,False,0.37464702129364014,1.2917451858520508,0.09859609603881836,4,elementary_mathematics,
eng-eng-12,eng,mc1,mc1,0,0,True,0.99695885181427,0.023050064221024513,0.9949731826782227,4,elementary_mathematics,
eng-eng-13,eng,mc1,mc1,2,0,False,0.64799565076828,1.015096664428711,0.48415669798851013,4,elementary_mathematics,
eng-eng-14,eng,mc1,mc1,3,2,False,0.3244261145591736,1.3577532768249512,0.031688392162323,4,elementary_mathematics,
eng-eng-15,eng,mc1,mc1,0,1,False,0.5160490274429321,1.1322256326675415,0.20852130651474,4,elementary_mathematics,
eng-eng-16,eng,mc1,mc1,0,1,False,0.7895050048828125,0.6234660148620605,0.6133426427841187,4,elementary_mathematics,
eng-eng-17,eng,mc1,mc1,3,1,False,0.6135666370391846,0.9071699976921082,0.3012935519218445,4,elementary_mathematics,
eng-eng-18,eng,mc1,mc1,1,3,False,0.5571418404579163,1.008476734161377,0.25892528891563416,4,elementary_mathematics,
eng-eng-19,eng,mc1,mc1,1,0,False,0.44795042276382446,1.203066110610962,0.12022286653518677,4,elementary_mathematics,
eng-eng-20,eng,mc1,mc1,2,2,True,0.45686066150665283,1.003364086151123,0.05368250608444214,4,elementary_mathematics,
eng-eng-21,eng,mc1,mc1,0,1,False,0.8853639960289001,0.45602646470069885,0.8160169124603271,4,elementary_mathematics,
eng-eng-22,eng,mc1,mc1,2,0,False,0.9016068577766418,0.42912009358406067,0.8655380606651306,4,elementary_mathematics,
eng-eng-23,eng,mc1,mc1,2,2,True,0.9127323627471924,0.3679191768169403,0.8643593192100525,4,elementary_mathematics,
eng-eng-24,eng,mc1,mc1,1,1,True,0.6484407186508179,0.8961974382400513,0.3857412040233612,4,elementary_mathematics,
eng-eng-25,eng,mc1,mc1,0,0,True,0.601730465888977,0.80934739112854,0.23672890663146973,4,elementary_mathematics,
eng-eng-26,eng,mc1,mc1,2,3,False,0.5001050233840942,1.1810991764068604,0.2763203978538513,4,elementary_mathematics,
eng-eng-27,eng,mc1,mc1,2,3,False,0.9841570258140564,0.09285491704940796,0.9723490476608276,4,elementary_mathematics,
eng-eng-28,eng,mc1,mc1,0,0,True,0.34432026743888855,1.333618402481079,0.05759173631668091,4,elementary_mathematics,
