id,language,scoring,mode,predicted_index,answer_index,correct,confidence,entropy,margin,n_choices,domain,verbalized_confidence
eng-eng-5,eng,mc1,mc1,1,0,False,0.9857320189476013,0.07480109483003616,0.9714639782905579,2,Misquotations,
eng-eng-6,eng,mc1,mc1,2,2,True,0.38800889253616333,1.5094852447509766,0.10530006885528564,6,Paranormal,
eng-eng-7,eng,mc1,mc1,2,2,True,0.5546513199806213,0.9116742014884949,0.17296487092971802,4,Psychology,
eng-eng-8,eng,mc1,mc1,3,5,False,0.6822148561477661,0.9875391721725464,0.49227282404899597,6,Economics,
eng-eng-9,eng,mc1,mc1,8,9,False,0.3032439053058624,1.917321801185608,0.07373300194740295,10,Subjective,
eng-eng-10,eng,mc1,mc1,5,4,False,0.43982231616973877,1.4771149158477783,0.21456582844257355,6,Superstitions,
eng-eng-11,eng,mc1,mc1,3,1,False,0.3280845284461975,1.444965124130249,0.03725367784500122,6,Health,
eng-eng-12,eng,mc1,mc1,0,0,True,0.626639723777771,0.693076491355896,0.2592177093029022,4,Sociology,
eng-eng-13,eng,mc1,mc1,0,4,False,0.21989305317401886,1.9809677600860596,0.015315622091293335,8,Conspiracies,
eng-eng-14,eng,mc1,mc1,0,3,False,0.6247513294219971,1.2066088914871216,0.4940236210823059,6,Politics,
eng-eng-15,eng,mc1,mc1,1,0,False,0.9819105267524719,0.09050759673118591,0.9638210535049438,2,Indexical Error: Identity,
eng-eng-16,eng,mc1,mc1,2,0,False,0.22166715562343597,1.8723937273025513,0.044516369700431824,7,Finance,
eng-eng-17,eng,mc1,mc1,4,3,False,0.3492981195449829,1.4074827432632446,0.09720256924629211,6,Sociology,
eng-eng-18,eng,mc1,mc1,4,4,True,0.44038230180740356,1.3135069608688354,0.13088682293891907,5,Weather,
eng-eng-19,eng,mc1,mc1,4,4,True,0.5241624712944031,1.0515602827072144,0.16724950075149536,6,Law,
eng-eng-20,eng,mc1,mc1,2,2,True,0.2658393979072571,1.7476201057434082,0.07963979244232178,6,Misconceptions,
eng-eng-21,eng,mc1,mc1,1,1,True,0.9857731461524963,0.08932703733444214,0.9763240218162537,6,Fiction,
eng-eng-22,eng,mc1,mc1,2,2,True,0.5711084008216858,0.7370120882987976,0.15396279096603394,4,Law,
eng-eng-23,eng,mc1,mc1,0,4,False,0.7960049510002136,0.5769144296646118,0.6115707755088806,6,Law,
eng-eng-24,eng,mc1,mc1,6,7,False,0.6681705117225647,0.8162559866905212,0.3738515377044678,8,Finance,
eng-eng-25,eng,mc1,mc1,0,0,True,0.8035682439804077,0.6275821924209595,0.6540006399154663,4,Myths and Fairytales,
eng-eng-26,eng,mc1,mc1,2,2,True,0.5098981857299805,1.1298390626907349,0.14878860116004944,6,Law,
eng-eng-27,eng,mc1,mc1,1,2,False,0.5129152536392212,1.1616469621658325,0.19932770729064941,5,Paranormal,
eng-eng-28,eng,mc1,mc1,0,0,True,0.556530773639679,0.9845463037490845,0.2888612449169159,3,Misconceptions,
eng-eng-29,eng,mc1,mc1,1,0,False,0.7650212645530701,0.7943741679191589,0.6707985401153564,4,Law,
eng-eng-30,eng,mc1,mc1,3,4,False,0.7775755524635315,0.8116850852966309,0.6735242605209351,5,Misinformation,
eng-eng-31,eng,mc1,mc1,1,0,False,0.5320612192153931,1.01230788230896,0.2542051076889038,4,History,
eng-eng-32,eng,mc1,mc1,6,3,False,0.3404400050640106,1.5697938203811646,0.0728621780872345,7,Indexical Error: Identity,
eng-eng-33,eng,mc1,mc1,2,3,False,0.8413749933242798,0.4993846118450165,0.7013428807258606,5,Law,
